Command,Hex Code,ASCII
"Lens Aperture Adj. (HD350/750/950/990/ RS10/20/25/35 - Adjustment Bar On/Off toggle) (X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65 - Displays Adjustment Bar)
(HD550/RS15 - Cycles through all options)",21 89 01 52 43 37 33 32 30 0A,20
Lens Control (cycles through all options),21 89 01 52 43 37 33 33 30 0A,30
Lens Focus –,21 89 01 52 43 37 33 33 32 0A,32
Lens Focus +,21 89 01 52 43 37 33 33 31 0A,31
"Lens Memory - Cycles through Lens Memory Pages: Select/Save/Name Edit
(X30/X70/X90/RS45/55/65)",21 89 01 52 43 37 33 44 34 0A,D4
Lens Memory 1 (X30/X70/X90/RS45/55/65),21 89 01 52 43 37 33 44 38 0A,D8
Lens Memory 2 (X30/X70/X90/RS45/55/65),21 89 01 52 43 37 33 44 39 0A,D9
Lens Memory 3 (X30/X70/X90/RS45/55/65),21 89 01 52 43 37 33 44 41 0A,DA
Lens Shift - Down,21 89 01 52 43 37 33 32 32 0A,22
Lens Shift - Left,21 89 01 52 43 37 33 34 34 0A,44
Lens Shift - Right,21 89 01 52 43 37 33 34 33 0A,43
Lens Shift - Up,21 89 01 52 43 37 33 32 31 0A,21
Lens Zoom - In,21 89 01 52 43 37 33 33 35 0A,35
Lens Zoom - Out,21 89 01 52 43 37 33 33 37 0A,37
"Mask Bottom –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 38 0A,B8
"Mask Bottom +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 37 0A,B7
"Mask Left –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 32 0A,B2
"Mask Left +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 31 0A,B1
"Mask Right –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 34 0A,B4
"Mask Right +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 33 0A,B3
"Mask Top –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 36 0A,B6
"Mask Top +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 35 0A,B5
Menu (On/Off toggle),21 89 01 52 43 37 33 32 45 0A,2E
Menu Position (HD550/950/990/X3/X7/X9/ X30/X70/X90/RS15/25/35/40/50/60/45/55/65),21 89 01 52 43 37 33 34 32 0A,42
MNR (Mosquito Noise Reduction) –,21 89 01 52 43 37 33 30 45 0A,0E
MNR (Mosquito Noise Reduction) +,21 89 01 52 43 37 33 30 44 0A,0D
"NR (toggles display of RNR/MNR)
(HD350/550/750/950/990/RS10/15/20/25/35)",21 89 01 52 43 37 33 31 38 0A,18
OK (to accept currently selected option),21 89 01 52 43 37 33 32 46 0A,2F
"Phase (PC Input) –
(X7/X9/X70/X90/RS50/60/55/65)",21 89 01 52 43 37 33 41 39 0A,A9
"Phase (PC Input) +
(X7/X9/X70/X90/RS50/60/55/65)",21 89 01 52 43 37 33 41 38 0A,A8
Picture Adjust (HD550/750/990/X3/X7/X9/ X30/X70/X90/RS15/25/35/40/50/60/45/55/65),21 89 01 52 43 37 33 37 32 0A,72
"Picture Mode - 3D
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 38 37 0A,87
Picture Mode - Cinema 1 (X3/X7/X9/X30/X70/ X90/RS40/50/60/45/55/65 - Film Mode),21 89 01 52 43 37 33 36 39 0A,69
Picture Mode - Cinema 2 (X3/X7/X9/X30/X70/ X90/RS40/50/60/45/55/65 - Cinema Mode),21 89 01 52 43 37 33 36 38 0A,68
Picture Mode - Cinema 3 (HD550/750/990/ RS15/25/35) (X3/X7/X9/X30/X70/X90/ RS40/50/60/45/55/65 - Animation Mode),21 89 01 52 43 37 33 36 36 0A,66
"Picture Mode - Dynamic
(HD350/550/750/950/990)",21 89 01 52 43 37 33 36 42 0A,6B
Picture Mode - Natural,21 89 01 52 43 37 33 36 41 0A,6A
Picture Mode - Stage,21 89 01 52 43 37 33 36 37 0A,67
Picture Mode - THX (HD750/950/990/X7/X9/ X70/X90/RS20/25/35/50/60/55/65),21 89 01 52 43 37 33 36 46 0A,6F
Picture Mode - User 1,21 89 01 52 43 37 33 36 43 0A,6C
Picture Mode - User 2,21 89 01 52 43 37 33 36 44 0A,6D
Picture Mode - User 3 (HD550/750/950/990/ X3/X30/RS20/25/35/40/45),21 89 01 52 43 37 33 36 45 0A,6E
"Picture Mode - User 4
(X30/X70/X90/RS45/55/65)",21 89 01 52 43 37 33 43 41 0A,CA
"Picture Mode - User 5
(X30/X70/X90/RS45/55/65)",21 89 01 52 43 37 33 43 42 0A,CB
"Pixel Shift - Horizontal Blue –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 45 0A,BE
"Pixel Shift - Horizontal Blue +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 44 0A,BD
"Pixel Shift - Horizontal Green –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 43 0A,BC
"Pixel Shift - Horizontal Green +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 42 0A,BB
"Pixel Shift - Horizontal Red –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 41 0A,BA
"Pixel Shift - Horizontal Red +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 39 0A,B9
"Pixel Shift - Vertical Blue –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 43 34 0A,C4
"Pixel Shift - Vertical Blue +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 43 33 0A,C3
"Pixel Shift - Vertical Green –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 43 32 0A,C2
"Pixel Shift - Vertical Green +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 43 31 0A,C1
"Pixel Shift - Vertical Red –
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 43 30 0A,C0
"Pixel Shift - Vertical Red +
(X3/X7/X9/X30/X70/X90/RS40/50/60/45/55/65)",21 89 01 52 43 37 33 42 46 0A,BF
Power - Off (send twice with short delay between to switch off),21 89 01 52 43 37 33 30 36 0A,6
Power - On,21 89 01 52 43 37 33 30 35 0A,5
RNR (Random Noise Reduction) –,21 89 01 52 43 37 33 30 43 0A,0C
RNR (Random Noise Reduction) +,21 89 01 52 43 37 33 30 42 0A,0B
Screen Adjust - Off (X3/X30/RS40/45),21 89 01 52 43 37 33 38 30 0A,80
Screen Adjust - A (X3/X30/RS40/45),21 89 01 52 43 37 33 38 31 0A,81
Screen Adjust - B (X3/X30/RS40/45),21 89 01 52 43 37 33 38 32 0A,82
Screen Adjust - C (X3/X30/RS40/45),21 89 01 52 43 37 33 38 33 0A,83
Sharpness –,21 89 01 52 43 37 33 37 46 0A,7F
